LEXEME,REPLACEMENT,COMMENT
u–-,u,
id ːnu,id nːu,stray & misplaced length
*inda ~ *iñja,*inda,splitting
*POc malo,*malo,borrowing
*X + *si- ,*si-,morphology
maygasak ʰ,maygasakʰ,superfluous space
mə'j ̟ane,mə'jane,space before diacritic
bu'j ̟uvə,bu'juvə,space before diacritic
ohɔj ̟e,ohɔj e,space before diacritic
ambakɨt  ̚,ambakɨt̚,space before diacritic
r expected)          :,,error in data
niƒ (sic),ni,error in data
u©um(em),,error in data
sægπro-,,error in data
h̃,h,error in data
-BB:SRP,,error in data
?,,error in data
"bathe')              :",,error in data
"u–-",u–-,
"(a)u 'au,
"kum + 'make'",kum,
"(ronʔoni)?",ronʔoni,
"a~ra-",ara,
"ñ+-neb",?,
"gæ ' ɓu",gæɓu,
"sɨgɨd (dɨb?)*",sɨgɨd,
"'u·.ɩn",?,
"-ha... -ha",ha-ha,
"-ma... -ma",ma-ma,
"-bu... -bu",bu-bu,
"a- + give",a-,
"kandzit 1",kandzit,
"madza|'-e",madza,
"*küm..an",*küm-an,
"*ox yɛ ... ke-",ox yɛ ke,
"*(k,s)-",?,
"*boba ... ke-",boba-ke,
"*kinum ... ke-",kinum-ke,
"*'e-Q",e,
"*-mu-Q",mu,
"*(tani)",tani,
"*(vu)",*vu,
"**(po)",po,
"*(a)",a,
"*(-te)",te,
"*(into)",into,
"*(o'e)",o'e,
"*(a)-",a,
"**(vesa)",vesa,
"*(ke)",ke,
"*(oo)",oo,
"*ä-Q-ra-N",ä-ra,
"*+ma-(t)-Q",?,
"*-wi-Q",wi,
"*-hi-Q",hi,
"*+ru-Q",ru,
"*+nu-Q",nu,
"*yä-Q",yä,
"*+be-",be,
"*ä-Q",*ä,
"*mene + V",mene,
"*(Oceanic)",?,
"*yaga PENGH Ø-Q",yaga,
"*ide +verb",ide,
"*tutuw-)",tutuw,
"*(k,s)-",?,
"*aŋa +ram",aŋa,
"*(k,s)-",?,
"ik gume....",ik gume,
"uᵬ- + 'give'",uᵬ,
"a- + give",a,
"kundzal 1",kundzal,
